author,work,original_excerpt,simplified_excerpt,changed_character_count,conversion_ok,notes
MScarlet,斯卡麗的完美玩梗教室,"各位！斯卡麗的完美玩梗教室要開始了啦！以成為像我一樣的玩梗大師為目標，一起努力吧！
…什麼的，開玩笑啦。我特意寫這篇出來，主要是想談談新人寫作時最常犯上的錯誤：玩梗失當。
梗，以正字來說是""哏""1，以日語來說好像是""ネタ(neta)""，以英語來說就我所知的有""cliche"" 這個來自法國的泊來話。總而言之這詞原本是指在相聲中的笑點之類的，現在就擴展到代指一切橋段了。
不論是寫SCP還是寫故事也好，""題材""永遠都是最大的難關之一，這點不論是新人還是老手都沒法逃過的一點。這時我們","各位！斯卡丽的完美玩梗教室要开始了啦！以成为像我一样的玩梗大师为目标，一起努力吧！
…什么的，开玩笑啦。我特意写这篇出来，主要是想谈谈新人写作时最常犯上的错误：玩梗失当。
梗，以正字来说是""哏""1，以日语来说好像是""ネタ(neta)""，以英语来说就我所知的有""cliche"" 这个来自法国的泊来话。总而言之这词原本是指在相声中的笑点之类的，现在就扩展到代指一切桥段了。
不论是写SCP还是写故事也好，""题材""永远都是最大的难关之一，这点不论是新人还是老手都没法逃过的一点。这时我们",775,,
MScarlet,碎命眼鏡,"項目編號：SCP-CN-070
項目等級：Safe
特殊收容設施：SCP-CN-070被收容於Site-CN-71的高價物品收容區的儲物櫃中，與項目相關的測試需3級以上的人員批准，在使用項目時應儘可能避免使配戴者觀察到自己。
描述：SCP-CN-070是一副黑色半框眼鏡，所有眼睛健在的人能透過它以2.0的視力視物，鏡框上染有屬於未知生物的血跡，所有取樣，清除血跡的嘗試都失敗了。實體的外框目前並無法被任何已知手段摧毀，但鏡片在特定情況下會破損甚至碎裂。鏡片可以以符合尺寸的其他鏡","项目编号：SCP-CN-070
项目等级：Safe
特殊收容设施：SCP-CN-070被收容于Site-CN-71的高价物品收容区的储物柜中，与项目相关的测试需3级以上的人员批准，在使用项目时应尽可能避免使配戴者观察到自己。
描述：SCP-CN-070是一副黑色半框眼镜，所有眼睛健在的人能透过它以2.0的视力视物，镜框上染有属于未知生物的血迹，所有取样，清除血迹的尝试都失败了。实体的外框目前并无法被任何已知手段摧毁，但镜片在特定情况下会破损甚至碎裂。镜片可以以符合尺寸的其他镜",1055,,
MScarlet,《展翅高飛》,"SCP-CN-999的封面

項目編號：SCP-CN-999
項目等級：Euclid
特殊收容措施：目前基金會所收容的SCP-CN-999已全部無效化，其文本內容現歸檔於Site-CN-71的高保密度文件庫中。任何已回收的活躍中SCP-CN-999應收容於Site-CN-71的高價值收容區中，現禁止對項目的性質進行測試；如發現新的文本內容應及時整理歸檔。

+ 僅限5級人員及站點主管存取

- 允許存取

現時基金會的人工智能將自動掃描新加入的基金會成員的個人資料，並標記其個","SCP-CN-999的封面

项目编号：SCP-CN-999
项目等级：Euclid
特殊收容措施：目前基金会所收容的SCP-CN-999已全部无效化，其文本内容现归档于Site-CN-71的高保密度文件库中。任何已回收的活跃中SCP-CN-999应收容于Site-CN-71的高价值收容区中，现禁止对项目的性质进行测试；如发现新的文本内容应及时整理归档。

+ 仅限5级人员及站点主管存取

- 允许存取

现时基金会的人工智能将自动扫描新加入的基金会成员的个人资料，并标记其个",1079,,
MScarlet,翻譯不只是塊蛋糕,"哎，沒錯，又是我，斯卡麗。老久之前講完在原創作品上玩梗的事兒，這回講講咱這裡的老本行：翻譯。
流程是怎樣，還有要注意的地方。
其實這也不算是最近寫的東西，起碼有四年歷史了—對，就是舊論壇的翻譯區置頂的那一篇見鬼的指南。天知道當時我是怎想的阿擦(掩面)
總之，我把這指南裡的東西從基金會中國宇宙中抽離出來，再打打補丁，就當是換個新瓶子吧。

為什麼我們需要翻譯
講到翻譯，首先要從定義入手：

Translation is the communication of the mean","哎，没错，又是我，斯卡丽。老久之前讲完在原创作品上玩梗的事儿，这回讲讲咱这里的老本行：翻译。
流程是怎样，还有要注意的地方。
其实这也不算是最近写的东西，起码有四年历史了—对，就是旧论坛的翻译区置顶的那一篇见鬼的指南。天知道当时我是怎想的阿擦(掩面)
总之，我把这指南里的东西从基金会中国宇宙中抽离出来，再打打补丁，就当是换个新瓶子吧。

为什么我们需要翻译
讲到翻译，首先要从定义入手：

Translation is the communication of the mean",752,,
Agent Phage,禁止访问,"项目编号：SCP-CN-134
项目等级：Keter
特殊收容措施：该项目需收容于Site-CN-85的50mX50mX5m大型无菌收容室内，收容室内除实验要求外禁止任何有机生命体进入。一台”云端闪耀”量子计算机作为核心收容部件被放置在收容室中心，该量子计算机内部应以饱和功率重复执行程序以保证信息量达到收容标准。收容室隔壁应设有一间与外界独立的监控室，并配有一台不断对”云端闪耀”量子计算机进行访问的终端机。一名2级人员应时刻位于监控室内进行监控。收容室四周空余区域应堆放高密度","项目编号：SCP-CN-134
项目等级：Keter
特殊收容措施：该项目需收容于Site-CN-85的50mX50mX5m大型无菌收容室内，收容室内除实验要求外禁止任何有机生命体进入。一台”云端闪耀”量子计算机作为核心收容部件被放置在收容室中心，该量子计算机内部应以饱和功率重复执行程序以保证信息量达到收容标准。收容室隔壁应设有一间与外界独立的监控室，并配有一台不断对”云端闪耀”量子计算机进行访问的终端机。一名2级人员应时刻位于监控室内进行监控。收容室四周空余区域应堆放高密度",6,,
MScarlet,四方桌仙,"最初發現時的SCP-CN-440

項目編號：SCP-CN-440
項目等級：Safe
特殊收容措施：SCP-CN-440現收容於Site-CN-71的高價儲存區中，僅限3/440權限人員存取。
在進行實驗時，SCP-CN-440將與一副標準廣東麻將一同放置於Site-CN-71的一所標準人型SCP臨時收容間裡，並由一名具2/440權限的實驗人員及3名最少具2級權限的站點人員使用SCP-CN-440進行麻將遊戲。由於已收集足夠的實驗人員，現禁止實驗用途以外的SCP-CN-44","最初发现时的SCP-CN-440

项目编号：SCP-CN-440
项目等级：Safe
特殊收容措施：SCP-CN-440现收容于Site-CN-71的高价储存区中，仅限3/440权限人员存取。
在进行实验时，SCP-CN-440将与一副标准广东麻将一同放置于Site-CN-71的一所标准人型SCP临时收容间里，并由一名具2/440权限的实验人员及3名最少具2级权限的站点人员使用SCP-CN-440进行麻将游戏。由于已收集足够的实验人员，现禁止实验用途以外的SCP-CN-44",1526,,
MScarlet,如何做出好吃的年糕，還有吃年糕之後有什麼效果,"各位同學起立！
相信你們都是第一次看見我，那我先做一下自我介紹吧。我姓劉，是這裡的家政科教務主任。同時，我也是烹飪學會的顧問老師，如果你還沒加入學會，上完課後又對烹調有與趣的話，歡迎在課後過來找我申請報名。
好了現在敬禮，各位同學早安！
很好，請坐吧。
不知不覺間就過了一個學期了，不知道大家對這裡的校園生活適應不?我知道有不少初入我們聖克莉絲汀娜書院同學對於我們遠比其他地方先進的校舍和課程感到不習慣，不過不需要擔心，我深信你們很快就會習慣下來，並為我校以及造就這一切的校長先生","各位同学起立！
相信你们都是第一次看见我，那我先做一下自我介绍吧。我姓刘，是这里的家政科教务主任。同时，我也是烹饪学会的顾问老师，如果你还没加入学会，上完课后又对烹调有与趣的话，欢迎在课后过来找我申请报名。
好了现在敬礼，各位同学早安！
很好，请坐吧。
不知不觉间就过了一个学期了，不知道大家对这里的校园生活适应不?我知道有不少初入我们圣克莉丝汀娜书院同学对于我们远比其他地方先进的校舍和课程感到不习惯，不过不需要担心，我深信你们很快就会习惯下来，并为我校以及造就这一切的校长先生",412,,
MScarlet,讚美鸚鵡螺！,"00d00h00m
Darklight博士有一頭可靠的鸚鵡螺助理在中國分部並不是什麼秘密。事實上，自從位於書堆中心的水族箱裡多了這位新成員後，Darklight的工作量立馬銳減了七成，這使他有足夠的空閒時間去做其他的事，例如看書，看書，還有看更多的書。
由此可見，當Darklight發現她不知所蹤後，心底裡是多麼抓狂。
一切都是在某天的早上開始的。Darklight起床後，按照標準流程稍經漱洗，就走到自己的辦公室裡，在書堆中隨手抽出一本書，然後就坐在靠窗的位置，一邊吃著小諾準","00d00h00m
Darklight博士有一头可靠的鹦鹉螺助理在中国分部并不是什么秘密。事实上，自从位于书堆中心的水族箱里多了这位新成员后，Darklight的工作量立马锐减了七成，这使他有足够的空闲时间去做其他的事，例如看书，看书，还有看更多的书。
由此可见，当Darklight发现她不知所踪后，心底里是多么抓狂。
一切都是在某天的早上开始的。Darklight起床后，按照标准流程稍经漱洗，就走到自己的办公室里，在书堆中随手抽出一本书，然后就坐在靠窗的位置，一边吃著小诺准",610,,
MScarlet,剎那之旅,"他仔細打量著他身處的房間。這房間被一堵用硬卡紙製成的牆一分為二，中央開出了一個兩人高的開口，開出一條約2米長，通往房間另一邊的通道。
這條通道似乎被某種強力的光源照射著，在他身處的那一邊除了噴湧的白光之外，完全看不見對面的景象。
「好了，下一位。」青春的叫喊傳進他的耳中，他知道已經輪到他了。
他望了望鐘，14時50分，然後輕抬左手遮在面前，走進被白光充滿的通道中。
未幾，澎湃的光突破了手掌的遮擋，充滿了他的視線…

葉建明就是被這樣的白光給叫醒的。昨晚看日本漫畫看太晚所導致的","他仔细打量著他身处的房间。这房间被一堵用硬卡纸制成的墙一分为二，中央开出了一个两人高的开口，开出一条约2米长，通往房间另一边的通道。
这条通道似乎被某种强力的光源照射著，在他身处的那一边除了喷涌的白光之外，完全看不见对面的景象。
「好了，下一位。」青春的叫喊传进他的耳中，他知道已经轮到他了。
他望了望钟，14时50分，然后轻抬左手遮在面前，走进被白光充满的通道中。
未几，澎湃的光突破了手掌的遮挡，充满了他的视线…

叶建明就是被这样的白光给叫醒的。昨晚看日本漫画看太晚所导致的",1246,,
MScarlet,英雄記：「幸運的」凡琴,"《題序》
連自己亦不知出生來歷
如同幸運之神親臨彼界
嘗彩色曲奇得無比才華
啖他之食者得享其福氣
而他之仇寇則厄禍纏身
烹午餐濟盲伯爵
以糖蜜鑄不沉艦
可可音擊退敵寇
生來三百四十載
為無眼王之柱樑
生來無名字
獲主君賜名
御名Vacuum
世稱「幸運的」凡琴""Lucky"" Vacuum

凡琴者，生來無名，為天外來客也。身高六尺有餘，其貌不揚，除了長有一把大胡子，和普通的四高之地人類別無二致。關於他穿越而來前的事蹟儘皆不明，就連他自己也對於以前的事一無所知。
凡琴最為人所熟","《题序》
连自己亦不知出生来历
如同幸运之神亲临彼界
尝彩色曲奇得无比才华
啖他之食者得享其福气
而他之仇寇则厄祸缠身
烹午餐济盲伯爵
以糖蜜铸不沉舰
可可音击退敌寇
生来三百四十载
为无眼王之柱梁
生来无名字
获主君赐名
御名Vacuum
世称「幸运的」凡琴""Lucky"" Vacuum

凡琴者，生来无名，为天外来客也。身高六尺有余，其貌不扬，除了长有一把大胡子，和普通的四高之地人类别无二致。关于他穿越而来前的事迹尽皆不明，就连他自己也对于以前的事一无所知。
凡琴最为人所熟",1256,,
MScarlet,醜響,"對於一名音樂遊戲玩家而言，什麼事情才是最可怕的?
我會回答你：控制器壞了。
對於住在這個連機廳都沒有的鬼地方的我而言，唯一的救贖就是從老家帶來的PS2，最新版的家用版""狂熱節拍IIDX""，還有配套的專用控制器。但偏偏，控制器的按鍵現在全失靈，壞掉了。

沒控制器
|
v
遊戲玩不了
|
v
附近又沒(有音樂遊戲的)機廳
|
v
人生完蛋了

音遊玩家的末路，似乎出乎意料的簡單。
萬幸的是，我竟然能在附近的二手市場竟然找到一個控制器，雖然外表又殘又破，轉盤上的防滑膠也千瘡百孔的","对于一名音乐游戏玩家而言，什么事情才是最可怕的?
我会回答你：控制器坏了。
对于住在这个连机厅都没有的鬼地方的我而言，唯一的救赎就是从老家带来的PS2，最新版的家用版""狂热节拍IIDX""，还有配套的专用控制器。但偏偏，控制器的按键现在全失灵，坏掉了。

没控制器
|
v
游戏玩不了
|
v
附近又没(有音乐游戏的)机厅
|
v
人生完蛋了

音游玩家的末路，似乎出乎意料的简单。
万幸的是，我竟然能在附近的二手市场竟然找到一个控制器，虽然外表又残又破，转盘上的防滑胶也千疮百孔的",578,,
MScarlet,湖中劍協議,"機動特遣隊Omega-26的標準配置之一，為能長期執行湖中劍協議而進行過一定的改造。

項目編號:SCP-CN-1M
項目等級:Euclid
特殊收容措施:現時Site-CN-74周遭20公里範圍已設立封鎖區，以黃銅線圈纏繞而成，高1.2米的電磁鐵柱應每隔3米圈繞封鎖區放置，並持續供電以建立磁場壁阻止SCP-CN-1M個體離開封鎖區。封鎖區範圍將視為Site-CN-74的一部份，並適用於基金會站點標準保密協議。
為減少處於收容區內的SCP-CN-1M個體數量，「湖中劍協議」應","机动特遣队Omega-26的标准配置之一，为能长期执行湖中剑协议而进行过一定的改造。

项目编号:SCP-CN-1M
项目等级:Euclid
特殊收容措施:现时Site-CN-74周遭20公里范围已设立封锁区，以黄铜线圈缠绕而成，高1.2米的电磁铁柱应每隔3米圈绕封锁区放置，并持续供电以建立磁场壁阻止SCP-CN-1M个体离开封锁区。封锁区范围将视为Site-CN-74的一部份，并适用于基金会站点标准保密协议。
为减少处于收容区内的SCP-CN-1M个体数量，「湖中剑协议」应",602,,
MScarlet,消逝的書中重生的數碼音樂奇幻,"項目編號：SCP-CN-326
項目等級：Keter
特殊收容措施：現時項目的電子副本被收容於位於Site-CN-46的大型超級電腦""Max Period”中，而文字副本同樣儲存於Site-CN-46的文件資料庫。Site-CN-46不會直接連接任何對外網絡，而是透過有線電報機與位於Site-CN-46五公里外的Site-CN-47連縶以取得來自基金會高層的指令。在SCP-CN-326突破收容的場合，Site-CN-46內的電磁脈衝炸彈將被引爆。同時Site-CN-47與基金","项目编号：SCP-CN-326
项目等级：Keter
特殊收容措施：现时项目的电子副本被收容于位于Site-CN-46的大型超级电脑""Max Period”中，而文字副本同样储存于Site-CN-46的文件资料库。Site-CN-46不会直接连接任何对外网络，而是透过有线电报机与位于Site-CN-46五公里外的Site-CN-47连絷以取得来自基金会高层的指令。在SCP-CN-326突破收容的场合，Site-CN-46内的电磁脉冲炸弹将被引爆。同时Site-CN-47与基金",952,,
MScarlet,孩子氣的戰爭,"超常事件記錄#：████-CN
事件描述：有多人目擊一輛只有玩具車尺寸的房車突然在街道一端出現，並橫衝直撞造成約5人受輕重不一的傷勢後在街道另一端消失。
發生日期：██/██/████
地點：香港旺角，██道。
後續措施：基金會迅速在街道上施放A級記憶清除氣體，順利消除當時所有目擊者的記憶。事件以氣體洩漏事故掩飾。

「老弟，老弟！」
「阿，哥，你終於回來啦？咦，你怎扛著個箱子？」
「哎，弟，聽我說嘛！剛剛我在公園玩的時候，不小心碰－的一聲撞到一個阿嬸啦！」
「哎－那真糟呢。","超常事件记录#：████-CN
事件描述：有多人目击一辆只有玩具车尺寸的房车突然在街道一端出现，并横冲直撞造成约5人受轻重不一的伤势后在街道另一端消失。
发生日期：██/██/████
地点：香港旺角，██道。
后续措施：基金会迅速在街道上施放A级记忆清除气体，顺利消除当时所有目击者的记忆。事件以气体泄漏事故掩饰。

「老弟，老弟！」
「阿，哥，你终于回来啦？咦，你怎扛著个箱子？」
「哎，弟，听我说嘛！刚刚我在公园玩的时候，不小心碰－的一声撞到一个阿婶啦！」
「哎－那真糟呢。",642,,
