condition_id,anchor_id,author,work_id,condition,context,pinyin_input,gold,gold_rank,top10
da-v2-condition-4a87c91faf9686511564c8ec,da-v2-anchor-01a6448a7276819e31f72627,Re_spectators,da-work-1310969119,full_multi3,"alis）等珍稀物种，其种群规模接近20世纪70年代中晚期水平。这些水生动物在异常效应显现期间的活动模式接近其在白天而非夜晚的活动模式。
SCP-CN-2255中的白鱀豚群体尤其活跃2。一只在左侧腹鳍上有暗色胎记的幼年雌性白鱀豚个体在此区域内被重复观测到，被观测时通常正与其它个体一同嬉戏或觅食，偶尔会跃出水面。
当离开SCP-CN-2255范围或SCP-CN-2255的异常效应中止时，在异常效应显现后出现于SCP-CN-2255内部的生物将直接消失，或变为水草、普通水生生物或水中垃圾等。同时，在SCP-CN-2255异常效应中止后，其范围内的水质将回归至与同一河段相同的水平。
更新于2004/9/19：SCP-CN-2255于2004年7月12日晚间于长江南京段最后一次被观测到。康德成像仪监测结果显示SCP-CN-2255的半径逐渐缩小，最终消失于此地的滩涂上。
次日，一只搁浅的成年雌性白鱀豚3尸体于SCP-CN-2255最后出现位置的圆心处被发现，其左侧腹鳍上有暗色胎记。被发现时尸体拥有较周围环境略低的休谟指数（99.12），但在被发现的数分钟后迅速回归正常水平。该白鱀豚尸体未在之后表现出任何其他异常效应；",jie pou jie guo xian shi qi wei,解剖结果显示其胃,,孑剖结果显示其位|孑剖结果显示其为|孑剖结果显示器未|疥剖结果显示其为|孑剖结果显示其味|疥剖结果显示其位|孑剖结果显示气味|疥剖结果显示器未|孑剖结果显示其未|孑剖结果显示器位
da-v2-condition-c01aa84a28e533c287a29a22,da-v2-anchor-01a6448a7276819e31f72627,Re_spectators,da-work-1310969119,initial_multi3,"alis）等珍稀物种，其种群规模接近20世纪70年代中晚期水平。这些水生动物在异常效应显现期间的活动模式接近其在白天而非夜晚的活动模式。
SCP-CN-2255中的白鱀豚群体尤其活跃2。一只在左侧腹鳍上有暗色胎记的幼年雌性白鱀豚个体在此区域内被重复观测到，被观测时通常正与其它个体一同嬉戏或觅食，偶尔会跃出水面。
当离开SCP-CN-2255范围或SCP-CN-2255的异常效应中止时，在异常效应显现后出现于SCP-CN-2255内部的生物将直接消失，或变为水草、普通水生生物或水中垃圾等。同时，在SCP-CN-2255异常效应中止后，其范围内的水质将回归至与同一河段相同的水平。
更新于2004/9/19：SCP-CN-2255于2004年7月12日晚间于长江南京段最后一次被观测到。康德成像仪监测结果显示SCP-CN-2255的半径逐渐缩小，最终消失于此地的滩涂上。
次日，一只搁浅的成年雌性白鱀豚3尸体于SCP-CN-2255最后出现位置的圆心处被发现，其左侧腹鳍上有暗色胎记。被发现时尸体拥有较周围环境略低的休谟指数（99.12），但在被发现的数分钟后迅速回归正常水平。该白鱀豚尸体未在之后表现出任何其他异常效应；",j p j g x s q w,解剖结果显示其胃,,较平均更显示其为|较平均高相似且未|较平均更新世青蛙|较平均更显示其位|较平均高相似且无|较平均更显示且未|较平均更新时期为|较平均更显示其外|较平均更新时期未|较平均更显示且无
da-v2-condition-234b479e77dde2e1fd48ff0d,da-v2-anchor-01c33387cce102e9bd00925d,Re_spectators,da-work-1312042098,full_multi3,"本文的开头就已经给读者留下了大量的谜团，而所有谜团的线索都隐藏在下文讳莫如深的仪式里。究竟是怎样的一个异常需要用如此繁复的仪式来压制呢？

— 第一章节：南无 —
不存在的人不需要坟墓。

进入第一章节了。这一章节的仪式主要就是一件事情：雕刻一大堆佛像（虽然里面还混着耶稣像），然后烧掉它们。作为我个人最喜欢的一节，这一章节其实已经透露了很多关于异常的信息。

他们都走了，像定好的那样，这是一趟我自己的孤身之旅。话是这么说，他们必然还是在监控着我的，O5自然也在看着，一如往常。上个月重新发射了GPS卫星，他们也给我一路备好了补给点。仪式的顺利执行比什么都重要，哪怕原则上讲，世界现在已经停滞了，我们有着无限的时间。

注意这句话：“世界现在已经停滞了，我们有着无限的时间。”
毫无疑问，世界停滞的原因是世界被毁灭了——这也是为什么需要启动SCP-2000的原因。但在重启世界之前，“仪式的顺利执行比什么都重要”。如果仪式不执行，世界就无法被重建。
有什么东西会不希望世界被重建吗？

预言说弥勒佛下生的时候，世间的人寿将有八万岁。如果真要这么发展的话，那我想现在的弥勒佛肯定憋屈得很。我们已经重复这几百年有好几趟了，我们",zai shou ming fang mian,在寿命方面,,哉寿命方面|在守命方面|哉寿命房眠|哉寿命放勉|哉寿命放面|哉寿命妨免|哉寿命方勉|哉寿命放眠|在守命放面|哉寿命防眠
da-v2-condition-302f43a89d77272fadf14122,da-v2-anchor-01c33387cce102e9bd00925d,Re_spectators,da-work-1312042098,initial_multi3,"本文的开头就已经给读者留下了大量的谜团，而所有谜团的线索都隐藏在下文讳莫如深的仪式里。究竟是怎样的一个异常需要用如此繁复的仪式来压制呢？

— 第一章节：南无 —
不存在的人不需要坟墓。

进入第一章节了。这一章节的仪式主要就是一件事情：雕刻一大堆佛像（虽然里面还混着耶稣像），然后烧掉它们。作为我个人最喜欢的一节，这一章节其实已经透露了很多关于异常的信息。

他们都走了，像定好的那样，这是一趟我自己的孤身之旅。话是这么说，他们必然还是在监控着我的，O5自然也在看着，一如往常。上个月重新发射了GPS卫星，他们也给我一路备好了补给点。仪式的顺利执行比什么都重要，哪怕原则上讲，世界现在已经停滞了，我们有着无限的时间。

注意这句话：“世界现在已经停滞了，我们有着无限的时间。”
毫无疑问，世界停滞的原因是世界被毁灭了——这也是为什么需要启动SCP-2000的原因。但在重启世界之前，“仪式的顺利执行比什么都重要”。如果仪式不执行，世界就无法被重建。
有什么东西会不希望世界被重建吗？

预言说弥勒佛下生的时候，世间的人寿将有八万岁。如果真要这么发展的话，那我想现在的弥勒佛肯定憋屈得很。我们已经重复这几百年有好几趟了，我们",z s m f m,在寿命方面,,做什么福吗|暂时没法吗|暂时冒犯吗|暂时冒犯么|做甚么佛吗|暂时没法么|做什么法吗|做什么佛吗|做什么福满|做甚么福吗
da-v2-condition-c90b81ddebedeceab5b88379,da-v2-anchor-01e4465ef4d1787715ab5960,Re_spectators,da-work-1310969119,full_multi3,"热成像结果表明SCP-CN-2255的中心可能为一只水生生物。然而，当任何探测器靠近SCP-CN-2255圆心处时，其异常效应将立即消失。未在圆心处获取任何有价值的信息。

一条被发现于SCP-CN-2255内部的白鲟（Psephurus gladius）个体，体长约2.7m，拍摄于早上6时12分。约20分钟后，SCP-CN-2255异常效应消失，该个体立即转变为一团普通的废弃渔网。

在异常效应显现期间，SCP-CN-2255区域内的水质与水中生态环境均优于同河段的其它位置，且可以观测到数目远超区域外的各种栖息于长江中下游流域的水生动物，包括长江鲥鱼（Tenualosa reevesii）、白鲟（Psephurus gladius）、中华鲟（Acipenser sinensis）、白鱀豚（Lipotes vexillifer）和江豚（Neophocaena asiaeorientalis）等珍稀物种，其种群规模接近20世纪70年代中晚期水平。这些水生动物在异常效应显现期间的活动模式接近其在白天而非夜晚的活动模式。
SCP-CN-2255中的白鱀豚群体尤其活跃2。一只在左侧腹鳍上有暗色胎记的幼年雌性白鱀豚个体",zai ci qu yu,在此区域,,再次趋于|再次区域|再次屈于|在次区域|再次屈鱼|在次趋于|再次去鱼|再次趣于|再次驱与|在次屈于
da-v2-condition-6fc884dfe9c2ea3e5c773004,da-v2-anchor-01e4465ef4d1787715ab5960,Re_spectators,da-work-1310969119,initial_multi3,"热成像结果表明SCP-CN-2255的中心可能为一只水生生物。然而，当任何探测器靠近SCP-CN-2255圆心处时，其异常效应将立即消失。未在圆心处获取任何有价值的信息。

一条被发现于SCP-CN-2255内部的白鲟（Psephurus gladius）个体，体长约2.7m，拍摄于早上6时12分。约20分钟后，SCP-CN-2255异常效应消失，该个体立即转变为一团普通的废弃渔网。

在异常效应显现期间，SCP-CN-2255区域内的水质与水中生态环境均优于同河段的其它位置，且可以观测到数目远超区域外的各种栖息于长江中下游流域的水生动物，包括长江鲥鱼（Tenualosa reevesii）、白鲟（Psephurus gladius）、中华鲟（Acipenser sinensis）、白鱀豚（Lipotes vexillifer）和江豚（Neophocaena asiaeorientalis）等珍稀物种，其种群规模接近20世纪70年代中晚期水平。这些水生动物在异常效应显现期间的活动模式接近其在白天而非夜晚的活动模式。
SCP-CN-2255中的白鱀豚群体尤其活跃2。一只在左侧腹鳍上有暗色胎记的幼年雌性白鱀豚个体",z c q y,在此区域,,正常且与|正常且已|正常且以|正常且有|正常且于|正常且易|正常且由|正常且又|正常且因|正常且一
da-v2-condition-dd36e90849d6543216bbdc68,da-v2-anchor-02147ba716a7d0422f0ea7c4,Re_spectators,da-work-1310969119,initial_multi3,"55边缘至中心的逐渐降低。

项目编号：SCP-CN-2255
项目等级：Euclid Neutralized
特殊收容措施（已归档）：目前正使用搭载于气象卫星上的康德成像仪跟踪SCP-CN-2255的移动情况。由于SCP-CN-2255的本质目前仍不明确，基金会将持续监测长江下游各水域的生态情况，并密切关注各地对“于夜间观测到稀有物种”相关事件的报告。
关于SCP-CN-2255的调查仍在持续进行中。
描述（已归档）：SCP-CN-2255是一种出现于中国境内长江中下游流域的异常现象，主要出现于于长江的安徽-江苏段，于1990年被初次发现。项目主要表现为一片在此范围内不规律移动的圆柱形空间异常，半径约为80~120m。在此异常范围内可观测到休谟指数的略微下降，且休谟指数沿圆柱形区域自外而内逐次降低（中心区域休谟指数约为85）。
SCP-CN-2255几乎只于夜间出现，并于白天消失。其出现地点带有一定随机性。在异常效应显现期间，SCP-CN-2255的位置相对固定（尽管可能存在较缓慢的移动）。SCP-CN-2255每次出现的持续时间在十分钟以内，在一个夜晚之内可能中断多次，并于数分钟至数十分钟后再次重新显现，",z t y w z,在同一位置,,中途有望在|状态有望在|状态已完整|中途有望再|整体已完整|状态有望再|总体已完整|中途有望止|中途有望自|状态也未知
da-v2-condition-6c561867a7ddd8cb72397319,da-v2-anchor-022b6d4590c0dc61353f346c,Re_spectators,da-work-1310969119,initial_multi3,"80~120m。在此异常范围内可观测到休谟指数的略微下降，且休谟指数沿圆柱形区域自外而内逐次降低（中心区域休谟指数约为85）。
SCP-CN-2255几乎只于夜间出现，并于白天消失。其出现地点带有一定随机性。在异常效应显现期间，SCP-CN-2255的位置相对固定（尽管可能存在较缓慢的移动）。SCP-CN-2255每次出现的持续时间在十分钟以内，在一个夜晚之内可能中断多次，并于数分钟至数十分钟后再次重新显现，在同一位置附近前后显现的时间跨度可达5~6小时。其出现周期与哺乳动物的REM1睡眠期出现规律基本相符。
热成像结果表明SCP-CN-2255的中心可能为一只水生生物。然而，当任何探测器靠近SCP-CN-2255圆心处时，其异常效应将立即消失。未在圆心处获取任何有价值的信息。

一条被发现于SCP-CN-2255内部的白鲟（Psephurus gladius）个体，体长约2.7m，拍摄于早上6时12分。约20分钟后，SCP-CN-2255异常效应消失，该个体立即转变为一团普通的废弃渔网。

在异常效应显现期间，SCP-CN-2255区域内的水质与水中生态环境均优于同河段的其它位置，且可以观测到数目远超区域外",d g z q x,的各种栖息,,的干燥且显|的干燥且小|的各种气象|的干燥气象|的干燥且向|的光照强小|的干燥且相|的干燥且下|的光照强些|的干燥且需
da-v2-condition-3849e9c02c92740a0f0a401f,da-v2-anchor-02cd8262faf3847cefb6ed74,Re_spectators,da-work-1312342920,initial_multi3,"什么特别巨大的不可抗力的话自然是不可能错过的。至于说准备的话，当时其实脑海里有两个比较宏大的点子，还是有一点点考虑过用上的，结果题目出来以后发现……用不上啊……

说到点子，能说一下现在这个点子是怎么来的吗，我记得你似乎提到过之前的稿子不是这篇？

是的，之前的一篇稿子其实有了一定的完成度，也就是后来出现在了草稿交换活动中的“列祖列宗在上”，但是那个点子其实天生有着非常严重的问题，我在折腾了几个星期以后实在说服不了我自己去继续完成它，就弃掉了。
简单来说，当时那个点子有一个元素就是来源于“观测者效应”，是“通过观测从而稳定本是随机运作的人类思维”这么一个想法。当时离竞赛开赛只剩下一个星期多一点了，感觉不能浪费时间，我觉得这个破题角度是可以的就留了下来，然后又想着既然时间紧那就写点自己比较熟悉的东西，机缘巧合之下，“观测者效应+机器学习”这个思路就被敲定了下来。

说起来2K其实我也准备了两篇稿子来着（笑
但最后怎么想到OEM这个点子的？

一句话解释的话，就是在万能点子制造之地“淋浴间”里突然想出来的（
详细点说的话，大部分时候其实我也不太能解释我有的脑洞怎么来的。自己复盘一下的话，对我来说人工智能和分类器这",l g d x h s,两个东西还是,,两个的循环啥|两个的型还是|两个的循环什|两个的续航是|两个的续航些|两个的型号是|两个的续航什|两个的续航虽|两个的循环是|两个的续航神
da-v2-condition-497811990ff1c8d0fe5985d1,da-v2-anchor-02f75fed727f6bcdcce73492,Re_spectators,da-work-1312042098,full_multi3,"地西泮协议已编辑]
我知道，我知道……但必须这样，这是对抗，用这个，用这一切，我……我不能停下……
SCP-████：[地西泮协议已编辑]
那我们就继续……仪式会继续，仪式不能停止。我们不能为了你们……我们要有一个未来，有你们在我们只会止步不前……（啜泣）这是对的，这才是对的，我必须这么想，仪式必须进行下去……不要再说了……算了吧，不要……

“我们要有一个未来，有你们在我们只会止步不前”。看样子SCP-████会阻挡接下来发生的事情进行。不难联想到地西泮仪式发生的背景——启动SCP-2000，正是“重启世界、走向未来”的一种形式。
结合前文的各种暗示，不难发现SCP-████在这里是希望阻挡SCP-2000被启动。

SCP-████：[地西泮协议已编辑]
不要……说这种话……你，你没有资格，我也不会……（啜泣）够了，够了……
SCP-████：[地西泮协议已编辑]
我不想朝你开枪，我真的不想……我……

在与他们的对话中，主角明显有剧烈的感情波动，并且他似乎在主观上不想伤害SCP-████——他是被迫的。但他为什么会对一群希望阻止SCP-2000开启、阻止世界重建的异常怀有恻隐之心？
基金会对待异常的态度",yi zhi xiang dang leng ku,一直相当冷酷,,一直想当冷酷|一只想当冷酷|意志向当冷酷|意志想当冷酷|一直想当冷哭|一直想当愣苦|一只想当冷哭|一直想当愣哭|一只想当愣苦|意志向当冷哭
da-v2-condition-ee6911f5a4270cc78bab16c2,da-v2-anchor-02f75fed727f6bcdcce73492,Re_spectators,da-work-1312042098,initial_multi3,"地西泮协议已编辑]
我知道，我知道……但必须这样，这是对抗，用这个，用这一切，我……我不能停下……
SCP-████：[地西泮协议已编辑]
那我们就继续……仪式会继续，仪式不能停止。我们不能为了你们……我们要有一个未来，有你们在我们只会止步不前……（啜泣）这是对的，这才是对的，我必须这么想，仪式必须进行下去……不要再说了……算了吧，不要……

“我们要有一个未来，有你们在我们只会止步不前”。看样子SCP-████会阻挡接下来发生的事情进行。不难联想到地西泮仪式发生的背景——启动SCP-2000，正是“重启世界、走向未来”的一种形式。
结合前文的各种暗示，不难发现SCP-████在这里是希望阻挡SCP-2000被启动。

SCP-████：[地西泮协议已编辑]
不要……说这种话……你，你没有资格，我也不会……（啜泣）够了，够了……
SCP-████：[地西泮协议已编辑]
我不想朝你开枪，我真的不想……我……

在与他们的对话中，主角明显有剧烈的感情波动，并且他似乎在主观上不想伤害SCP-████——他是被迫的。但他为什么会对一群希望阻止SCP-2000开启、阻止世界重建的异常怀有恻隐之心？
基金会对待异常的态度",y z x d l k,一直相当冷酷,,由衷心的离开|一直想到来看|由衷心的脸孔|一直想到了看|由衷心得了看|由衷心得来看|由衷心得了可|由衷心的脸哭|由衷心动力可|由衷心的啦快
