sample_type,streamer_id,source_response_id,interaction_id,response,context,target,pinyin,polyphonic,exclusion_reason
polyphonic,streamer83,lcresp-d25002827c406802834e7adf,lcime-c6640b1251a40003cc7fe21c,我也没有收到。我还没寄呢哈哈哈。,我也没有收到。我还,没,mei,True,
polyphonic,streamer217,lcresp-8acd82a46ad2c191b601fdb9,lcime-d045841a5721e11ef3149efe,小区的。哈哈哈哈好吧。,小区的。,哈哈哈哈,ha ha ha ha,True,
compatibility_failure,streamer172,lcresp-bd797059c63e5384f760b8d0,,嬷嬷不要打我我觉得如果如果要是这么说来你们要你你要是你要你要是是调侃摸摸的名字应该叫李爽吗？,,嬷嬷,"['ma', 'ma']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer217,lcresp-092c7f1c5b6595a1bb843892,,就是我也不是故意要演出来给对方看哈哈哈我好像就成习惯了演戏成习惯了吧哈哈哈哈你不犟我就很犟,,犟,['jiang'],False,pinyingpt_compatibility_failure
compatibility_failure,streamer74,lcresp-4981c82d4dfea9caf2cca9aa,,当然我都识㖞，你在上海还中山啊？,,㖞,['wai'],False,pinyingpt_compatibility_failure
compatibility_failure,streamer13,lcresp-502fb8db5122f5232f2a1dd8,,晚安。要命得㗎喇。,,㗎,['㗎'],False,pinyingpt_compatibility_failure
compatibility_failure,streamer131,lcresp-41c024f67306e061e88619b6,,"点点关注家人们咱们再点点赞啊，把赞点上去，有条件的家人们咱们来个来个心心占个榜啊心心占据榜小财大用小财大用你你那个你那个灯牌720他是谁家的呀我昨天晚上正好进他直播间刚好看到你就那么巧就看到你你的名字了小财大用然后我点了一下果然是咱家的粉哈哈哈720是个是个男主播，我是在好友那里看看那个那个就昨天那个容嬷嬷和他 PK来着点进去了正好看到你在太巧了他那他直播间有2,000个人。",,嬷嬷,"['ma', 'ma']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer80,lcresp-e9945dbdddf2e109b0c77c0a,,然后我一戴上的时候这块就有个包硌着我额头我怕给我额头硌出来个。,,硌,['ge'],True,pinyingpt_compatibility_failure
compatibility_failure,streamer159,lcresp-bf3d4ebab5022aba833e0fd8,,虽然没有完全标准这是我加了一点点自己的理解进去加了一点点我对这首歌的理解哈哈哈哈哈哈不到有有条件㗎。,,㗎,['㗎'],False,pinyingpt_compatibility_failure
compatibility_failure,streamer223,lcresp-b7fc101851eb17855760adb4,,那个迅猛就是遇见你啊我觉得迅猛的声音还嗲嗲的那种感觉。,,嗲,['die'],True,pinyingpt_compatibility_failure
compatibility_failure,streamer131,lcresp-0a38bdeb8c7703fdee0683fc,,脸长痦子里了。对他说点点痦子对啊对，两块钱一颗两块钱一颗点痦子他说你这是痦子上长了个脸吗哈哈哈。,,痦子,"['wu', 'zi']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer76,lcresp-8df7475e2bdb1d87e480c55a,,王思聪给你刷礼物不见得是好事，那抖音还有什么大哥啊啊刘哥红给我刷礼物，嘿嘿，我在直播间跳本草纲目，灵魂看到嚯小珊瑚唱歌这么好听，一个女孩子还在直播间跳本草纲目，我一定要鼓励他一下，踹一艘穿云箭，哈哈哈哈啊啊，他们说刘公红可好了，刘公红就是说非常的就是鼓励人做梦了开始做。,,嚯,['huo'],True,pinyingpt_compatibility_failure
compatibility_failure,streamer127,lcresp-ca9aa7396d228826c66ff67b,,你知道。怎么感觉我是原唱，我的声音跟他是不是有点像啊，就跟王健林的声音有点像，就比较嗲的那种。,,嗲,['die'],True,pinyingpt_compatibility_failure
compatibility_failure,streamer94,lcresp-6162941e2926d8cbfc216de1,,帮你回忆一下。对对对对，就是叫云起我寻思着这个名字我家包子哥好像不太喜欢呢。,,寻思,"['xin', 'si']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer60,lcresp-8e76c387170556a7197f5229,,就是喝酒喝的。对他最基本就是喝酒喝的花30多 w哎不是我说哥你你你寻思寻思最后是你有。,,寻思,"['xin', 'si']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer62,lcresp-2983da840fb004f4a6bf8ab7,,加减还要想一想。哈哈哈我11那加减法我都得寻思寻思。,,寻思,"['xin', 'si']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer60,lcresp-9bc900b8ca9263a4eafd6cb3,,对不靠谱啊不是哥那个什么你考虑考虑呢啊哥你这寻思寻思呢啊我个人觉得还是很靠谱的啊你看我诚挚的双眼哥你看我这你看你看我这眼睛啊你看我这眼睛里面透露出来这种睿智的光芒和那种就是深深爱着你的眼神啊！就是,,寻思,"['xin', 'si']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer131,lcresp-0a38bdeb8c7703fdee0683fc,,脸长痦子里了。对他说点点痦子对啊对，两块钱一颗两块钱一颗点痦子他说你这是痦子上长了个脸吗哈哈哈。,,痦子,"['wu', 'zi']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer3,lcresp-41ddd74677662690b3e1f817,,唢呐？唢呐怎么可能长这样这么小。,,唢呐,"['suo', 'na']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer144,lcresp-56b3165302d83910ffd80d47,,净出些馊主意，滚。哥哥,,馊主意,"['sou', 'zhu', 'yi']",False,pinyingpt_compatibility_failure
compatibility_failure,streamer71,lcresp-d7b4c85424d0ffdfea9bfef9,,我就很想家很想去。我寻思着要不,,寻思,"['xin', 'si']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer116,lcresp-49440b8f16c611ea90aed28a,,容嬷嬷的不是录音容嬷嬷的我发生方式不对的肯定我好好痛的容嬷嬷我我模仿一次就嗓子就会很疼。,,嬷嬷,"['ma', 'ma']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer89,lcresp-87bc5d9ff7fc5883add87ec5,,今天有这么晚到家啊。你今天来的比平时都晚比平时都晚呢我还寻思你竟然不来了。,,寻思,"['xin', 'si']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer87,lcresp-39e838eb34c9d894f36aa609,,不玩拉黑吧。然后每次我寻思他在 PK 中第十名了我们第10名了，大家,,寻思,"['xin', 'si']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer60,lcresp-da618fe2625097bb289f3dcc,,你对自己下手真狠。打水光针他就这个样子打水光针就这样他木子啊。这是我的痦子这是我痦子。,,痦子,"['wu', 'zi']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer131,lcresp-0a38bdeb8c7703fdee0683fc,,脸长痦子里了。对他说点点痦子对啊对，两块钱一颗两块钱一颗点痦子他说你这是痦子上长了个脸吗哈哈哈。,,痦子,"['wu', 'zi']",True,pinyingpt_compatibility_failure
compatibility_failure,streamer131,lcresp-2626c34f89baf44ceb052edc,,听一声容嬷嬷行吗？,,嬷嬷,"['ma', 'ma']",True,pinyingpt_compatibility_failure
